Brand,ProductName,ProductScore,ReviewCount,ProductPrice,Category,UserReview
Adidas,Adidas X Speedflow.3 Laceless Firm Ground New ,83,475 reviews,NA,soccer-cleats,4.4 
Adidas,Adidas Predator Mutator 20.1 Firm Ground ,75,372 reviews,$126,soccer-cleats,4.0 
Adidas,Adidas Nemeziz 19.3 Indoor ,86,"1,784 reviews",$59,soccer-cleats,4.5 
Adidas,Adidas Nemeziz 17.3 Firm Ground ,83,"1,210 reviews",NA,soccer-cleats,4.4 
Adidas,Adidas Predator 19.3 Shoes ,66,29 reviews,NA,soccer-cleats,3.9 
Adidas,Adidas Predator Edge+ FG ,87,57 reviews,$159,soccer-cleats,4.6 
Adidas,Adidas Predator Freak.1 FG New ,80,495 reviews,$250,soccer-cleats,4.2 
Adidas,Adidas Predator Freak+ ,89,326 reviews,$190,soccer-cleats,4.5 
Adidas,Adidas Predator 20.2 Firm Ground ,83,"2,063 reviews",$65,soccer-cleats,4.4 
Adidas,Adidas Adizero Primeknit ,89,757 reviews,$65,football-cleats,4.5 
Adidas,Adidas Adizero Scorch New ,87,204 reviews,$60,football-cleats,4.4 
Adidas,Adidas Adizero 11.0 ,90,123 reviews,NA,football-cleats,4.5 
Adidas,Adidas Adizero 8.0 ,92,"3,392 reviews",$42,football-cleats,4.6 
Adidas,Adidas Freak Ultra ,84,188 reviews,$45,football-cleats,4.2 
Adidas,Adidas Adizero 9.0 ,87,17 reviews,NA,football-cleats,4.8 
Adidas,Adidas Freak Carbon Mid ,87,"1,030 reviews",$80,football-cleats,4.3 
Adidas,Adidas Freak Carbon Low ,88,"1,218 reviews",$55,football-cleats,4.4 
Adidas,Adidas Freak X Carbon Mid ,87,"2,046 reviews",$60,football-cleats,4.4 
Adidas,Adidas Adizero 8.0 Sk Cleats ,90,113 reviews,NA,football-cleats,4.5 
Adidas,Adidas Freak Ultra Primeknit ,84,52 reviews,$100,football-cleats,4.2 
Adidas,Adidas Adizero 8.0 Primeknit Cleats ,92,168 reviews,NA,football-cleats,4.6 
Adidas,Adidas Adizero 5-Star 7.0 X Primeknit ,85,10 reviews,NA,football-cleats,4.7 
Adidas,Adidas Tour 360 Boost 2.0 ,91,"2,956 reviews",NA,golf-shoes,4.7 
Adidas,Adidas Tech Response ,85,"79,584 reviews",$35,golf-shoes,4.6 
Adidas,Adidas S2G ,84,"10,086 reviews",$49,golf-shoes,4.7 
Adidas,Adidas Tour360 XT SL ,92,"11,358 reviews",$80,golf-shoes,4.6 
Adidas,Adidas ForgeFiber BOA ,90,"1,146 reviews",$170,golf-shoes,4.5 
Adidas,Adidas ZG21 ,94,"3,490 reviews",$49,golf-shoes,4.6 
Adidas,Adidas ZG21 BOA ,88,489 reviews,$110,golf-shoes,4.5 
Adidas,Adidas Tour360 22 ,87,649 reviews,$120,golf-shoes,4.2 
Adidas,Adidas CodeChaos BOA ,91,385 reviews,$110,golf-shoes,4.6 
Adidas,Adidas Stan Smith Golf ,88,"1,311 reviews",$96,golf-shoes,4.5 
Adidas,Adidas Tech Response 2.0 ,84,"3,334 reviews",$38,golf-shoes,4.7 
Adidas,Adidas Samba Golf New ,80,7 reviews,$120,golf-shoes,4.6 
Adidas,Adidas CodeChaos 22 New ,93,254 reviews,$98,golf-shoes,4.6 
Adidas,Adidas Adipure ,84,278 reviews,$90,golf-shoes,4.1 
Adidas,Adidas Tour360 XT ,91,"3,465 reviews",$70,golf-shoes,4.7 
Adidas,Adidas CP Traxion BOA ,87,"1,176 reviews",$55,golf-shoes,4.5 
Adidas,Adidas Tour360 Knit ,88,769 reviews,$52,golf-shoes,4.5 
Adidas,Adidas Tour360 EQT BOA ,84,364 reviews,NA,golf-shoes,4.5 
Adidas,Adidas Tour360 XT SL BOA ,82,288 reviews,$177,golf-shoes,4.5 
Adidas,Adidas CodeChaos ,89,"5,616 reviews",$71,golf-shoes,4.6 
Adidas,Adidas Adicross Bounce ,87,"2,449 reviews",$55,golf-shoes,4.5 
Adidas,Adidas Crossknit Boost ,84,470 reviews,$130,golf-shoes,4.3 
Adidas,Adidas Adicross Bounce 2.0 ,81,"2,277 reviews",$55,golf-shoes,4.5 
Adidas,Adidas CP Traxion Spikeless ,88,"2,894 reviews",$65,golf-shoes,4.6 
Adidas,Adidas Tour360 XT Primeknit ,92,"2,370 reviews",$113,golf-shoes,4.6 
Adidas,Adidas Indoor Cycling Shoes ,82,693 reviews,NA,cycling-shoes,4.4 
Adidas,Five Ten Freerider DLX ,85,410 reviews,$63,cycling-shoes,4.6 
Adidas,Adidas Questar Flow NXT ,76,"16,321 reviews",$44,running-shoes,4.2 
Adidas,Adidas Adizero Boston 10 ,85,"1,898 reviews",$57,running-shoes,4.3 
Adidas,Adidas Terrex Two Ultra Parley ,85,748 reviews,$73,running-shoes,4.4 
Adidas,Adidas Pureboost Go ,90,"21,890 reviews",$45,running-shoes,4.5 
Adidas,Adidas Adizero Boston Boost 6 ,89,"2,221 reviews",$80,running-shoes,4.4 
Adidas,Adidas Adizero Prime X ,90,278 reviews,$170,running-shoes,4.6 
Adidas,Adidas Adizero Tempo 9 ,87,"1,893 reviews",NA,running-shoes,4.3 
Adidas,Adidas Ultraboost 21 Lab test ,89,"40,779 reviews",$50,running-shoes,4.6 
Adidas,Adidas Adizero Adios 6 ,87,"1,146 reviews",$34,running-shoes,4.4 
Adidas,Adidas Alphabounce RC ,79,"3,063 reviews",$130,running-shoes,4.4 
Adidas,Adidas Energy Boost 3 ,84,"1,796 reviews",$80,running-shoes,4.4 
Adidas,Adidas Ultraboost 19 ,91,"83,778 reviews",$100,running-shoes,4.7 
Adidas,Adidas Adizero Adios Pro 3 ,91,191 reviews,$175,running-shoes,4.6 
